# k_modes P_R(k) P_S(k) P_RS(k) 
4.5762420829693765e-05 1.6588582901969031e-09 1.1870195373230933e-67 -1.1022228762276084e-38
5.0873102549983918e-05 1.4694143107354882e-09 1.1039485064024482e-67 -9.6455403283514092e-39
5.6554537896777149e-05 1.3030619673018799e-09 1.0312851731158124e-67 -8.4066233103939255e-39
6.2870467818932233e-05 1.1577358461793866e-09 9.5813530662820145e-68 -7.2524249995039881e-39
6.9891751763330093e-05 1.0315393001860959e-09 8.9184546899188150e-68 -6.2064687085317376e-39
7.7697162658553888e-05 9.2273201401362802e-10 8.3203286537151044e-68 -5.2590114885140661e-39
8.6374270681209594e-05 8.2971624442980965e-10 7.7680280846067369e-68 -4.3964593516348425e-39
9.6020425720005545e-05 7.5112676751710495e-10 7.2496613201272065e-68 -3.6105317353389738e-39
1.0674384956001560e-04 6.8566483152714064e-10 6.6726729263389552e-68 -2.8765958714844248e-39
1.1866485004051890e-04 6.3189212200496639e-10 6.3005228047732272e-68 -2.2452025844076783e-39
1.3191717080825112e-04 5.8866748435981955e-10 5.8818004142061114e-68 -1.6569691083726243e-39
1.4664949180916864e-04 5.5496930996700875e-10 5.4939038130873867e-68 -1.1239603441616457e-39
1.6302709735298738e-04 5.2986288253873525e-10 5.1331530794927179e-68 -6.4139278137922526e-40
1.8123373046478406e-04 5.1249359366818560e-10 4.7976717801612758e-68 -2.0510280228652172e-40
2.0147365432793279e-04 5.0208183262609255e-10 4.5359898016351542e-68 1.8980844050087247e-40
2.2397394394604026e-04 4.9791741276010092e-10 4.2048693564122578e-68 5.4433187405289233e-40
2.4898703373441060e-04 4.9935283015893658e-10 3.9250214436851369e-68 8.6303098324874152e-40
2.7679354962288036e-04 5.0580015338119546e-10 3.6792470533021928e-68 1.1506247533120875e-39
3.0770545744384926e-04 5.1672409101916755e-10 3.4083527158968834e-68 1.4002162925403522e-39
3.4206956292778378e-04 5.3164100904044701e-10 3.1639016380042135e-68 1.6214747560835894e-39
3.8027140257321424e-04 5.5011289831288797e-10 3.0322872062690637e-68 1.8450098400503006e-39
4.2273956904352876e-04 5.7174509039334647e-10 2.8425364289691953e-68 2.0273848273191242e-39
4.6995051961789674e-04 5.9618323413427622e-10 2.6532528151569885e-68 2.1838360787592965e-39
5.2243392164311511e-04 6.2311199663106764e-10 2.5066719936334110e-68 2.3342738767219628e-39
5.8077859495787323e-04 6.5221394676586224e-10 2.3521744535196378e-68 2.4593949248092466e-39
6.4563911795846259e-04 6.8311759300062790e-10 2.2204643919617852e-68 2.5751747365796738e-39
7.1774317142045798e-04 7.1574016742461781e-10 2.1361286499353196e-68 2.7019999874653145e-39
7.9789970246790429e-04 7.4987670237400555e-10 1.9688868361052664e-68 2.7580172578260773e-39
8.8700800028290348e-04 7.8536246765568867e-10 1.8565016025986246e-68 2.8325445537017205e-39
9.8606778537747831e-04 8.2205507286586661e-10 1.7549276288678284e-68 2.8996729864844794e-39
1.0961904256208833e-03 8.5983411273585213e-10 1.6239673088603518e-68 2.9255494275689496e-39
1.2186114048568111e-03 8.9859991474308144e-10 1.5517275687747596e-68 2.9891761576261329e-39
1.3547041839979377e-03 9.3827143254736853e-10 1.4793324755180712e-68 3.0416394207221845e-39
1.5059956101076866e-03 9.7878589496011511e-10 1.3952333846815391e-68 3.0703559985373099e-39
1.6741830463462095e-03 1.0200964878206348e-09 1.3276028509085754e-68 3.1058484471851732e-39
1.8611534149642393e-03 1.0621727507457216e-09 1.2583937694604078e-68 3.1292434114428953e-39
2.0690043669912670e-03 1.1049913372029699e-09 1.1948894792865121e-68 3.1497857656834712e-39
2.3000678161242210e-03 1.1485446175514343e-09 1.1357475101970204e-68 3.1668739633525701e-39
2.5569361008471818e-03 1.1928362531049838e-09 1.0805830126943911e-68 3.1809240696845005e-39
2.8424910682992200e-03 1.2378785959258220e-09 9.9636571280374015e-69 3.1412029016471666e-39
3.1599364061869989e-03 1.2836885567443262e-09 9.8060723409833735e-69 3.2009782407459121e-39
3.5128335854791486e-03 1.3302862570187065e-09 9.3526362005873897e-69 3.2076584487645134e-39
3.9051418171293520e-03 1.3773943544144411e-09 8.8860039247512718e-69 3.2046683226798170e-39
4.3412624711091259e-03 1.4252498106212873e-09 8.5476156739718961e-69 3.2185362243035679e-39
