# k_modes P_R(k) P_S(k) P_RS(k) 
2.3427593871348421e-06 5.2974174804842576e-10 3.2623798831505883e-68 1.6152258656631366e-39
2.5939803044519473e-06 5.4706271599862224e-10 3.0609774698234793e-68 1.8145026596025819e-39
2.8721403729444679e-06 5.6734959397571596e-10 2.8789714355795172e-68 1.9941827268158470e-39
3.1801283563101168e-06 5.9027940747065365e-10 2.7105349731309575e-68 2.1550852936857612e-39
3.5211427887975377e-06 6.1556178248358948e-10 2.5158110007519101e-68 2.2815002745314827e-39
3.8987251928053441e-06 6.4293491703211719e-10 2.4053101095685988e-68 2.4251872377570694e-39
4.3167968585011065e-06 6.7216590305339878e-10 2.2473936574968352e-68 2.5262256164113736e-39
4.7796995674261304e-06 7.0304823773189473e-10 2.1382914677205123e-68 2.6362170043572411e-39
5.2922406830109778e-06 7.3539946311860516e-10 2.0164313784410767e-68 2.7220470021121483e-39
5.8597430762784764e-06 7.6906252935961417e-10 1.9077897066394981e-68 2.8006671153357957e-39
6.4881004052253390e-06 8.0389872556041920e-10 1.8041959637587800e-68 2.8680227641655238e-39
7.1838383219729877e-06 8.3979022892603144e-10 1.7058404656654661e-68 2.9252629056676951e-39
7.9541822433395722e-06 8.7663844496621069e-10 1.6158667729837428e-68 2.9763100612277347e-39
8.8071323886479371e-06 9.1435805613557500e-10 1.5192595039621633e-68 3.0079704150886324e-39
9.7515468640564517e-06 9.5288441254251717e-10 1.4502073727848523e-68 3.0549886109882495e-39
1.0797233656264791e-05 9.9216398380790854e-10 1.3642874426165228e-68 3.0730360870133875e-39
1.1955052490972907e-05 1.0321601835750286e-09 1.3101767912743293e-68 3.1167042862539603e-39
1.3237027613919452e-05 1.0728448127906230e-09 1.2430969087702458e-68 3.1361099372680291e-39
1.4656472665759639e-05 1.1141999448615114e-09 1.1820434497314422e-68 3.1538436076985333e-39
1.6228128947640239e-05 1.1562188114843450e-09 1.1265542880113381e-68 3.1705495765016598e-39
1.7968318513395165e-05 1.1989061421259817e-09 1.0725937964714905e-68 3.1814676339229624e-39
1.9895113678263351e-05 1.2422707930070781e-09 1.0172937179626625e-68 3.1824287088368462e-39
2.2028524704520714e-05 1.2863258478884786e-09 9.6980564862956887e-69 3.1880769625026013e-39
2.4390707613189044e-05 1.3310196879386029e-09 9.3474822472407539e-69 3.2080620243806503e-39
2.7006194280000543e-05 1.3764122124673701e-09 8.8509096284371678e-69 3.1967256146380843e-39
2.9902147205223081e-05 1.4225269022134252e-09 8.5743501073283609e-69 3.2193402315827419e-39
3.3108641603196396e-05 1.4693873432540983e-09 8.2161012647113748e-69 3.2220109913967055e-39
3.6658977741151457e-05 1.5170177638962417e-09 7.8962203202215437e-69 3.2272664934510771e-39
4.0590026771031771e-05 1.5654319666563287e-09 7.5976275343595498e-69 3.2323767262088756e-39
4.4942613645868851e-05 1.6146332763001030e-09 7.2985032993087211e-69 3.2329842613432904e-39
4.9761941097396667e-05 1.6646224328633277e-09 7.0253110631282395e-69 3.2350849541637361e-39
5.5098059078021358e-05 1.7153970939924877e-09 6.7670182171975991e-69 3.2366394528113419e-39
6.1006384542422073e-05 1.7669516452492160e-09 6.4159396147502927e-69 3.2111253706048165e-39
6.7548276966846807e-05 1.8192682735883378e-09 6.3136745532160197e-69 3.2441294648528279e-39
7.4791675583020810e-05 1.8723159042783141e-09 6.0397055905962687e-69 3.2299858573193787e-39
8.2811804944503715e-05 1.9260440394912574e-09 5.9231866217038856e-69 3.2547389137836850e-39
9.1691956152983761e-05 1.9803910142036245e-09 5.7329469071593386e-69 3.2567592783237917e-39
1.0152435185774445e-04 2.0352911969611310e-09 5.5625134034120751e-69 3.2614041136754450e-39
1.1241110401154519e-04 2.0906728495600002e-09 5.3720840084362788e-69 3.2570761391711842e-39
1.2446527432945651e-04 2.1464542838688778e-09 5.2521266867750000e-69 3.2713471501164545e-39
1.3781204846378701e-04 2.2025325741571135e-09 5.1144491388810977e-69 3.2777390464706470e-39
1.5259003608920988e-04 2.2587950647303879e-09 4.9183215942187650e-69 3.2621975437890119e-39
1.6895271039980701e-04 2.3151294018499256e-09 4.6811049186040925e-69 3.2285791918024070e-39
1.8707000196757645e-04 2.3714325605047251e-09 4.7415606893226444e-69 3.2948897889293816e-39
2.0713006351503311e-04 2.4275955965071459e-09 4.6361639336970374e-69 3.3022435415095865e-39
2.2934122392951999e-04 2.4834909884568802e-09 4.4469201650551719e-69 3.2765234034706162e-39
2.5393415181216710e-04 2.5389670573410992e-09 4.4367712551284430e-69 3.3141477499928028e-39
2.8116425103051336e-04 2.5938532939230687e-09 4.3022363038514853e-69 3.3032114626714901e-39
3.1131431315321661e-04 2.6479725453239872e-09 4.1915575471766666e-69 3.2985204416494751e-39
3.4469745431307071e-04 2.7011516539190747e-09 4.1330435093198172e-69 3.3120429721530106e-39
3.8166036699840001e-04 2.7531973019406091e-09 4.1100021705735781e-69 3.3380572078219604e-39
4.2258692054352619e-04 2.8038796110080153e-09 4.0338174376909007e-69 3.3405489066968958e-39
4.6790214771032067e-04 2.8529095639770860e-09 3.9703556670210691e-69 3.3459978144181155e-39
5.1807665876251558e-04 2.8999879548754441e-09 3.8191185640649518e-69 3.3112862069875343e-39
5.7363152887406966e-04 2.9448754046528434e-09 3.8446615148576447e-69 3.3503829768242958e-39
6.3514370962857651e-04 2.9874740688956911e-09 3.7806345422654850e-69 3.3484748553314628e-39
7.0325202080953023e-04 3.0278323854225587e-09 3.7259451802383923e-69 3.3484543495435795e-39
7.7866378470771902e-04 3.0660141578206502e-09 3.6360282069710996e-69 3.3302559712076346e-39
8.6216217184474316e-04 3.1019364274462992e-09 3.6160883916440562e-69 3.3419638184092860e-39
9.5461433439987195e-04 3.1353670330937141e-09 3.4509837631327530e-69 3.2835651913972862e-39
1.0569804118079702e-03 3.1659711134240725e-09 3.4490915400998230e-69 3.2997296265118324e-39
1.1703235020539358e-03 3.1934108659271579e-09 3.4702120493328043e-69 3.3250716938348613e-39
1.2958207022181090e-03 3.2175000135986608e-09 3.4242908957200530e-69 3.3162353846101808e-39
1.4347753329315329e-03 3.2382349177747078e-09 3.3738852050062446e-69 3.3029990279016472e-39
1.5886304736951922e-03 3.2556822564620127e-09 3.3275690196475499e-69 3.2896275039480703e-39
1.7589839496309789e-03 3.2698162578811269e-09 3.2852096802092189e-69 3.2761594344462464e-39
