# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745125035907e-02 1.0000000000000000e-04 3.2307670506890069e-05 7.1482978595166348e-06 1.0000000000000000e+00 7.1482978595166348e-06 1.2325670371072820e-04 1.1223360503289858e-07 7.8338373225467957e-20 1.2325670371130562e-04 -5.0508487257161994e-11
1.0010010010010011e-01 5.6984282585423118e+00 -1.5703527427606515e-02 1.0323698486813335e-04 3.2414213590901041e-05 7.1482096536056199e-06 1.1052815513322825e+00 7.9007842551856162e-06 1.2330039184411246e-04 1.1225210863760660e-07 1.6851921764409591e-05 -3.2338693550316667e-03 -5.0509126075960566e-11
2.0020020020020021e-01 5.6968559988624667e+00 -1.5710872800615481e-02 1.0649745830803510e-04 3.2765087947672788e-05 7.1481213906079639e-06 1.2216473077154968e+00 8.7324832520597714e-06 1.2341576720348773e-04 1.1230322827037137e-07 2.9455454307802470e-05 -5.7228699969973391e-03 -5.0509767100396484e-11
3.0030030030030030e-01 5.6952828259936252e+00 -1.5721607313662168e-02 1.0980266604074039e-04 3.3299644084386785e-05 7.1480330261417435e-06 1.3502642314526905e+00 9.6517333204417302e-06 1.2358447356281834e-04 1.1237857072318357e-07 3.9010472821477413e-05 -7.5683622369368715e-03 -5.0510410175005238e-11
4.0040040040040042e-01 5.6937084461419998e+00 -1.5734861875648140e-02 1.1316871759100384e-04 3.3974499868579421e-05 7.1479445271249671e-06 1.4924221444485217e+00 1.0667750699570918e-05 1.2379294464729125e-04 1.1247192235383355e-07 4.6387228890837214e-05 -8.9374134571949676e-03 -5.0511055190244326e-11
5.0050050050050054e-01 5.6921326408279160e+00 -1.5749994338628476e-02 1.1660802349618237e-04 3.4758797266409706e-05 7.1478558688764489e-06 1.6495466630587137e+00 1.1790721796529788e-05 1.2403116662329343e-04 1.1257869211487741e-07 5.2213396068031680e-05 -9.9538547962619208e-03 -5.0511702068773550e-11
6.0060060060060061e-01 5.6905552473597618e+00 -1.5766530678051813e-02 1.2013035632605389e-04 3.5630703169264944e-05 7.1477670329333467e-06 1.8232134947405245e+00 1.3031905311705517e-05 1.2429175090280945e-04 1.1269549098925826e-07 5.6940196530248930e-05 -1.0709285216884494e-02 -5.0512350756084854e-11
7.0070070070070078e-01 5.6889761433702457e+00 -1.5784118409745317e-02 1.2374368753152224e-04 3.6574651656911855e-05 7.1476780053252436e-06 2.0151642398767593e+00 1.4403745114485075e-05 1.2456920341359911e-04 1.1281979892870210e-07 6.0895713381085072e-05 -1.1271900039704782e-02 -5.0513001213715568e-11
8.0080080080080085e-01 5.6873952373708443e+00 -1.5802498136302277e-02 1.2745464663977402e-04 3.7579835144269502e-05 7.1475887755233609e-06 2.2273238572403238e+00 1.5919995001466336e-05 1.2485948046798230e-04 1.1294976140907081e-07 6.4314192937688972e-05 -1.1691921539129709e-02 -5.0513653415164861e-11
9.0090090090090091e-01 5.6858124600991484e+00 -1.5821477481547653e-02 1.3126896935673337e-04 3.8638732459369299e-05 7.1474993354759999e-06 2.4618199682499884e+00 1.7595856587128340e-05 1.2515958204118216e-04 1.1308400307080057e-07 6.7365111699416362e-05 -1.2006606189270389e-02 -5.0514307342434091e-11
1.0010010010010011e+00 5.6842277591353154e+00 -1.5840914873141012e-02 1.3519175205995769e-04 3.9746277325975581e-05 7.1474096790099065e-06 2.7210041936081373e+00 1.9448131710021345e-05 1.2546729962871698e-04 1.1322151176761381e-07 7.0169660538940709e-05 -1.2243375096030370e-02 -5.0514962983885731e-11
1.1011011011011012e+00 5.6826410940599335e+00 -1.5860704955860842e-02 1.3922768919996645e-04 4.0899083626292410e-05 7.1473198012900049e-06 3.0074757362928479e+00 2.1495390881905108e-05 1.2578098892697390e-04 1.1336153427966051e-07 7.2816179164730024e-05 -1.2422632036982222e-02 -5.0515620332397471e-11
1.2012012012012012e+00 5.6810524336830257e+00 -1.5880770244355323e-02 1.4338119521847261e-04 4.2095052791742016e-05 7.1472296985114045e-06 3.3241074474039571e+00 2.3758159469128500e-05 1.2609944034602076e-04 1.1350351663298748e-07 7.5368009465529232e-05 -1.2559383818652705e-02 -5.0516279384294174e-11
