# k_modes  P_R(k)  P_S(k)  P_RS(k)  P_T(k)  beta_iso  cosDelta
4.5673016486928767e-05 1.5658409068059992e-07 1.0894565024438764e-57 -1.2932424110453013e-32 1.0287272257504987e-11 6.9576449159585999e-51 -9.9015041451012586e-01
5.0774933863183912e-05 1.4698092540952463e-07 1.0229344693496282e-57 -1.2133579627696033e-32 1.0286814927280477e-11 6.9596409636113250e-51 -9.8954272286264633e-01
5.6446762379895238e-05 1.3797207690572402e-07 9.5997846888360667e-58 -1.1381048228411613e-32 1.0286365549988065e-11 6.9577735612370151e-51 -9.8890805998398923e-01
6.2752164124090361e-05 1.2952070240296019e-07 9.0245352707688956e-58 -1.0684096955948983e-32 1.0285923909258255e-11 6.9676392293581629e-51 -9.8822492097281633e-01
6.9761912574445886e-05 1.2159234657595658e-07 8.4505196294972197e-58 -1.0009775859960006e-32 1.0285491842261591e-11 6.9498779055294653e-51 -9.8748276730445228e-01
7.7554686981326287e-05 1.1415472273454287e-07 7.9414049082616382e-58 -9.3949863436151332e-33 1.0285067305674600e-11 6.9567029011394492e-51 -9.8673501881601977e-01
8.6217955483272002e-05 1.0717744076780210e-07 7.4425169819308206e-58 -8.8054761649507754e-33 1.0284654990833182e-11 6.9441077605639911e-51 -9.8591900294903745e-01
9.5848956872269294e-05 1.0063474092841714e-07 6.9515616756959211e-58 -8.2387280913698072e-33 1.0284250372716252e-11 6.9077155777055772e-51 -9.8501991973626379e-01
1.0655579202738790e-04 9.4497291672604550e-08 6.5344664828197058e-58 -7.7331521133197522e-33 1.0283713553519429e-11 6.9149775270375238e-51 -9.8410583034025023e-01
1.1845863726732842e-04 8.8738990895604187e-08 6.1550990306468744e-58 -7.2661655970112366e-33 1.0283152747245949e-11 6.9361832589328850e-51 -9.8317431890036355e-01
1.3169109324086048e-04 8.3336988326595665e-08 5.7500014267188169e-58 -6.7985288988395495e-33 1.0282601103750188e-11 6.8996990918182673e-51 -9.8211438211928803e-01
1.4640168449545551e-04 7.8269270127745338e-08 5.3843197767140217e-58 -6.3683954791059761e-33 1.0282057976926086e-11 6.8792257394583228e-51 -9.8099989509707497e-01
1.6275552655566105e-04 7.3515113125150236e-08 5.0751938917067873e-58 -5.9850659778929691e-33 1.0281522531792198e-11 6.9036061783199703e-51 -9.7983806739290080e-01
1.8093617922294294e-04 6.9055159627202076e-08 4.7495398457054395e-58 -5.6045340762004185e-33 1.0280994529302554e-11 6.8778927908444226e-51 -9.7862358825381646e-01
2.0114770689891629e-04 6.4871155385139150e-08 4.4759026348103572e-58 -5.2662755957857261e-33 1.0280474956230510e-11 6.8996807721968033e-51 -9.7732149605805141e-01
2.2361696905757336e-04 6.0946026932236121e-08 4.1875795581215929e-58 -4.9303424580217486e-33 1.0279960505999593e-11 6.8709639806014336e-51 -9.7593939890922132e-01
2.4859616657536512e-04 5.7263776580564049e-08 3.9144906779174652e-58 -4.6136644358369453e-33 1.0279454438193193e-11 6.8358933197676769e-51 -9.7446978810146823e-01
2.7636567249981521e-04 5.3809324863954382e-08 3.6962793808218305e-58 -4.3391559628200489e-33 1.0278956637785506e-11 6.8692171666659996e-51 -9.7295800137549426e-01
3.0723717902995186e-04 5.0568613755934256e-08 3.4666960776632522e-58 -4.0667948077677800e-33 1.0278462731532765e-11 6.8554303157191718e-51 -9.7130103530155454e-01
3.4155719603108745e-04 4.7528376596471140e-08 3.2408704709472182e-58 -3.8052136872671178e-33 1.0277978228224592e-11 6.8188116300775244e-51 -9.6955337630750604e-01
3.7971094035219494e-04 4.4676212588265081e-08 3.0386969203976603e-58 -3.5654075701460547e-33 1.0277501465258260e-11 6.8015992053807681e-51 -9.6767008434187185e-01
4.2212665960059386e-04 4.2000491923307582e-08 2.8531638962021726e-58 -3.3431417170786163e-33 1.0277030581283477e-11 6.7931678072057275e-51 -9.6574893627148561e-01
4.6928043890512408e-04 3.9490268511197940e-08 2.6834686506112546e-58 -3.1370492532726429e-33 1.0276570171328028e-11 6.7952656484225337e-51 -9.6366931622667495e-01
5.2170154462017856e-04 3.7135297099415178e-08 2.5143687696236805e-58 -2.9381115125007194e-33 1.0276118801491141e-11 6.7708325125081009e-51 -9.6152445991871704e-01
5.7997836494971854e-04 3.4926478629859356e-08 2.3456375857949101e-58 -2.7453011590711098e-33 1.0275677818999011e-11 6.7159292256551078e-51 -9.5914029505078302e-01
6.4476501417039928e-04 3.2854933967209460e-08 2.2094683562456527e-58 -2.5776019024203950e-33 1.0275139136172456e-11 6.7249210071485481e-51 -9.5669091821445873e-01
7.1678867458132981e-04 3.0911021020312897e-08 2.0676344748881167e-58 -2.4119937028873627e-33 1.0274539462438235e-11 6.6889879617026863e-51 -9.5407521088352687e-01
7.9685775858842666e-04 2.9087229518478692e-08 1.9503181267155912e-58 -2.2661091074098232e-33 1.0273947275532254e-11 6.7050666529673529e-51 -9.5143014775325341e-01
8.8587098253674053e-04 2.7376145855289106e-08 1.8263101073786741e-58 -2.1207704239814193e-33 1.0273364676764160e-11 6.6711732068954796e-51 -9.4846267303094944e-01
9.8482745413782237e-04 2.5770773329081885e-08 1.7126929984946279e-58 -1.9862600240182716e-33 1.0272788731700554e-11 6.6458735119208961e-51 -9.4543704509226523e-01
1.0948378867160350e-03 2.4264568646080813e-08 1.5936151860066682e-58 -1.8526179510416493e-33 1.0272219876449085e-11 6.5676633664949453e-51 -9.4212352954629608e-01
1.2171370661454835e-03 2.2851378766036241e-08 1.5119396686184504e-58 -1.7449315386642403e-33 1.0271659191840347e-11 6.6164045684001790e-51 -9.3876082301102826e-01
1.3530977104096759e-03 2.1525459796026661e-08 1.4162290533049880e-58 -1.6327833251660417e-33 1.0271104589269480e-11 6.5793207983710840e-51 -9.3515928070021748e-01
1.5042458773472784e-03 2.0281380629022353e-08 1.3205014112962401e-58 -1.5241677652345984e-33 1.0270554819611023e-11 6.5109049302423835e-51 -9.3135356171669093e-01
1.6722780935245196e-03 1.9114090126445370e-08 1.2498208219866619e-58 -1.4334555395883211e-33 1.0270012997742498e-11 6.5387408645597400e-51 -9.2743511366351672e-01
1.8590803964931752e-03 1.8018809144093320e-08 1.1704820534591162e-58 -1.3406651980517631e-33 1.0269477741763604e-11 6.4958901784184093e-51 -9.2315561071180563e-01
2.0667495041694402e-03 1.6991095959135591e-08 1.0972912829509140e-58 -1.2543902080533385e-33 1.0268947790958845e-11 6.4580371130264510e-51 -9.1867308835659667e-01
2.2976163489443324e-03 1.6026745594139445e-08 1.0287949810452176e-58 -1.1735415808518381e-33 1.0268424980115555e-11 6.4192382352498344e-51 -9.1392675655527889e-01
2.5542722406786114e-03 1.5121832752085372e-08 9.6807886358909720e-59 -1.0998026172712170e-33 1.0267909899514386e-11 6.4018619929227459e-51 -9.0898593766403701e-01
2.8395979522425480e-03 1.4272673621231342e-08 9.0859883334522490e-59 -1.0292472033875677e-33 1.0267401672903515e-11 6.3660030170775917e-51 -9.0381790545421958e-01
3.1567960540642495e-03 1.3475811892224443e-08 8.4673948075967075e-59 -9.5942039964830364e-34 1.0266902729964210e-11 6.2834023473438379e-51 -8.9816592245916416e-01
