# N phi dphidN h dhdN H a aH eps_H dotsigma eta_perp eta_sigma m_iso
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112355353e-02 7.8218159158759590e+00 -8.7361645617072838e-16 6.9348675572623594e-06 1.0000000000000000e+00 6.9348675572623594e-06 1.2325669854157525e-04 1.0888258790451870e-07 0.0000000000000000e+00 1.2325669854171414e-04 1.2288288131847273e-10
1.0010010010010011e-01 5.6984288822560858e+00 -1.5685280118158940e-02 7.8217957006913785e+00 -5.9081983166147365e-04 6.9347820526179984e-06 1.1052815513322825e+00 7.6648866652688909e-06 1.2301567043840390e-04 1.0877473482583013e-07 -6.9943294714951490e-02 1.8488270076119685e-02 1.2317823121160984e-10
2.0020020020020021e-01 5.6968606475390420e+00 -1.5644478976267761e-02 7.8216657433335239e+00 -2.1396847671421907e-03 6.9346968564833520e-06 1.2216473077154968e+00 8.4717537445460066e-06 1.2239671683479105e-04 1.0849940647442151e-07 -1.2084715779340570e-01 3.0487165941764958e-02 1.2369083519052545e-10
3.0030030030030030e-01 5.6952974541446206e+00 -1.5585661078700625e-02 7.8213449584403403e+00 -4.3611084339611004e-03 6.9346121789885006e-06 1.3502642314526905e+00 9.3635587842843752e-06 1.2154732560275780e-04 1.0812095611325759e-07 -1.5661980749569959e-01 3.6869322127278746e-02 1.2447809671654428e-10
4.0040040040040042e-01 5.6937407941850777e+00 -1.5514843718166495e-02 7.8207778582364487e+00 -7.0274039460093418e-03 6.9345281354050498e-06 1.4924221444485217e+00 1.0349243350579813e-05 1.2059153996474173e-04 1.0769370749965325e-07 -1.8025751871741635e-01 3.8722679237530887e-02 1.2550786928240695e-10
5.0050050050050054e-01 5.6921916160574195e+00 -1.5436899948003135e-02 7.8199292624891434e+00 -9.9590677524865941e-03 6.9344447649287956e-06 1.6495466630587137e+00 1.1438690222153261e-05 1.1962422757740933e-04 1.0725962048371389e-07 -1.9414438203049381e-01 3.7195105789216518e-02 1.2671088371745921e-10
6.0060060060060061e-01 5.6906504311309254e+00 -1.5355708991905857e-02 7.8187798876601908e+00 -1.3016549721022860e-02 6.9343620509036319e-06 1.8232134947405245e+00 1.2642822468624082e-05 1.1871183719102417e-04 1.0684851987205983e-07 -2.0024365144680398e-01 3.3347602359274572e-02 1.2800864149307481e-10
7.0070070070070078e-01 5.6891174064008849e+00 -1.5274301457242010e-02 7.8173227318980079e+00 -1.6093266598669474e-02 6.9342799393637431e-06 2.0151642398767593e+00 1.3973712963100597e-05 1.1789636375094816e-04 1.0647963494288548e-07 -2.0021198052949535e-01 2.8083726675956735e-02 1.2932820165784937e-10
8.0080080080080085e-01 5.6875924424632869e+00 -1.5194985606018780e-02 7.8155600524875339e+00 -1.9109620051573184e-02 6.9341983542128562e-06 2.2273238572403238e+00 1.5444705425174885e-05 1.1720031766419451e-04 1.0616359712051162e-07 -1.9546400407899098e-01 2.2122729224249852e-02 1.3060946164580575e-10
9.0090090090090091e-01 5.6860752399796652e+00 -1.5119466842953842e-02 7.8135009415572574e+00 -2.2007966415070367e-02 6.9341172090336004e-06 2.4618199682499884e+00 1.7070548207384796e-05 1.1663177915492305e-04 1.0590454284099458e-07 -1.8720803126206531e-01 1.6001943128954626e-02 1.3180789605487264e-10
1.0010010010010011e+00 5.6845653547134178e+00 -1.5048951585003084e-02 7.8111593447461107e+00 -2.4748354542199990e-02 6.9340364155119955e-06 2.7210041936081373e+00 1.8867542165239675e-05 1.1618882937972207e-04 1.0570201273825565e-07 -1.7646714742724376e-01 1.0095078689108186e-02 1.3289444376133515e-10
1.1011011011011012e+00 5.6830622429906139e+00 -1.4984238223828546e-02 7.8085524581365160e+00 -2.7304928923981068e-02 6.9339558890588489e-06 3.0074757362928479e+00 2.0853704092869391e-05 1.1586316678794610e-04 1.0555254550356925e-07 -1.6409454570414866e-01 4.6387936854589192e-03 1.3385370591032449e-10
1.2012012012012012e+00 5.6815652977971762e+00 -1.4925797651359608e-02 7.8056995144040862e+00 -2.9662978839729771e-02 6.9338755522440260e-06 3.3241074474039571e+00 2.3048947362586593e-05 1.1564292655945927e-04 1.0545095240773933e-07 -1.5078776389530130e-01 -2.3753465011213897e-04 1.3468132114663012e-10
1.3013013013013013e+00 5.6800738786803029e+00 -1.4873840743132393e-02 7.8026207606628297e+00 -3.1816408375593942e-02 6.9337953365059519e-06 3.6740746362618388e+00 2.5475281578887139e-05 1.1551469220302678e-04 1.0539124732927952e-07 -1.3710381950472819e-01 -4.4840408977595558e-03 1.3538108501756392e-10
1.4014014014014016e+00 5.6785873349974985e+00 -1.4828376244915606e-02 7.7993366873983119e+00 -3.3765661159909977e-02 6.9337151827103968e-06 4.0608869136780772e+00 2.8157033248639649e-05 1.1546487997155170e-04 1.0536729993368974e-07 -1.2347545624682876e-01 -8.1059161891295171e-03 1.3596225597712551e-10
