# k_modes P_R(k) P_S(k) P_RS(k) 
4.5686327546407697e-05 1.7167681077154187e-09 4.3549419472169472e-87 -1.4721673712000881e-48
5.0790040892664505e-05 1.4955829577991816e-09 2.9342664459605354e-88 -6.0152061998744366e-49
5.6463900523809294e-05 1.3650734101197586e-09 4.4890612804917052e-87 -2.4311981408871139e-48
6.2771598650614431e-05 1.3098396316921960e-09 2.3777103204058244e-84 3.3171588794421035e-47
6.9783942671341058e-05 1.3122808605267354e-09 1.9802224617952281e-83 -1.3905363089132712e-46
7.7579650023926189e-05 1.3556738192361111e-09 5.1477692955725086e-88 -1.8477750498517355e-49
8.6246231832736453e-05 1.4246489840447699e-09 1.4079881159138706e-86 -4.3076326460609461e-49
9.5880975269314265e-05 1.5054225377011581e-09 2.0995943066717433e-79 -9.8307841628158046e-45
1.0659203565465695e-04 1.5862106092033906e-09 3.8256363984696560e-86 5.8066524094346888e-48
1.1849965056248137e-04 1.6584977061759866e-09 2.9247348764013157e-86 3.7558196399898940e-48
1.3173748955245417e-04 1.7168015103069806e-09 2.9801057374649613e-85 -1.9333700281424066e-47
1.4645415468488910e-04 1.7585626561153392e-09 6.1055298911318700e-86 8.3551801551642653e-48
1.6281484866101939e-04 1.7836349879095536e-09 8.7209031890663167e-86 1.0102255092938251e-47
1.8100322931463935e-04 1.7936125870992731e-09 1.2870707052051901e-86 2.9159702616233981e-48
2.0122347127281208e-04 1.7911331245249867e-09 1.9233315128023686e-86 -1.1126626324027409e-48
2.2370255792892319e-04 1.7793006429349448e-09 4.9130080251028013e-85 2.4027306171989816e-47
2.4869282945674278e-04 1.7612602754005191e-09 1.0737614431817900e-84 9.4133229703203403e-48
2.7647481546836620e-04 1.7398780348072264e-09 1.0406270021846428e-86 -1.8734329968063902e-48
3.0736038411418172e-04 1.7175452378315740e-09 3.8100224033700540e-82 -8.3130587521120687e-47
3.4169624297525353e-04 1.6960850337686039e-09 6.6359886969759047e-85 1.3806146694654312e-48
3.7986783104757460e-04 1.6767300055604353e-09 2.1962041928448460e-83 -1.8202949687013649e-46
4.2230364550785887e-04 1.6601688860394769e-09 3.1484265433513151e-83 1.7000067728005928e-46
4.6948005183121660e-04 1.6466363173491005e-09 4.1844577336990342e-84 -8.2993146349342421e-47
5.2192663125694063e-04 1.6359981412232348e-09 3.1585803403312102e-84 -6.5775377238613885e-47
5.8023212563065852e-04 1.6278826348478767e-09 1.1844087534838892e-83 -5.2571893229829745e-47
6.4505104635699724e-04 1.6217517509529531e-09 2.2279090534652024e-81 -2.2622957464582603e-46
7.1711102165190324e-04 1.6170471448379288e-09 9.4289979883883079e-84 -3.2168506323172346e-47
